variant,hit_rate,avg_latency_ms,p95_latency_ms,p99_latency_ms,queries_per_second,total_queries,total_time_s,avg_memory_mb,avg_cpu_percent
baseline,0.5377604166666666,25.46516340225935,31.051230430603027,34.6037530899048,38.77667272464125,768,19.80572199821472,468.8411356608073,15.671614583333332
context,0.14453125,25.383206084370613,30.91020584106445,35.06192445755006,38.84303924723335,768,19.77188229560852,531.6666615804037,13.137109375
pca,0.5377604166666666,25.81265630821387,30.97141981124878,34.431529045104995,38.26232809126241,768,20.071962118148804,582.3990580240885,15.299869791666666
tau,0.5377604166666666,24.967719490329426,30.08819818496704,31.843357086181648,39.565713497368186,768,19.41074562072754,534.3659464518229,20.795312499999998
full,0.14453125,25.82832829405864,31.559467315673828,34.514698982238784,38.164009469746134,768,20.123671770095825,585.1829172770182,17.018098958333336
